instrument,kod ISIN,Pakiet,Pakiet_PLN,udzial_pct_portf,udzial_pct_obr,punkty bazowe,Symbol,Kapitalizacja (mln),Warto�� ksi�gowa (mln),Zysk na akcj� (ttm),Stopa dyw. (%)
WARIMPEX ,AT0000827209 ,6 243 000,31 215 000,10,"0,00 ",0,WXF,270,443.15,0.6579,5.1
WASKO ,PLHOGA000041 ,16 755 000,27 813 300,9,"0,01 ",133,WAS,153.2,226.36,0.0709,
WAWEL ,PLWAWEL00013 ,642 000,572 664 000,185,"0,60 ",82,WWL,1331.78,670.24,51.5607,2.8
WIELTON ,PLWELTN00012 ,20 525 000,250 815 500,81,"0,01 ",72,WLT,731.75,350.09,1.4902,2
WIKANA ,PLELPO000016 ,4 190 000,4 818 500,2,"0,00 ",688,WIK,21.62,45.3,,
WIRTUALNA ,PLWRTPL00027 ,17 624 000,1 022 192 000,331,"0,06 ",124,WPL,1709.49,429.87,1.9205,1.7
WITTCHEN ,PLWTCHN00030 ,4 365 000,69 840 000,23,"0,00 ",258,WTN,292.22,122.55,1.8824,5.3
WOJAS ,PLWOJAS00014 ,1 767 000,8 693 640,3,"0,00 ",586,WOJ,62.37,71.7,1.0933,4.1
WORKSERV ,PLWRKSR00019 ,19 233 000,40 581 630,13,"0,08 ",138,WSE,139.95,12.89,,
XTB ,PLXTRDM00011 ,16 473 000,66 550 920,22,"0,02 ",149,XTB,478.93,455.16,0.8596,8.7
XTPL ,PLXTPL000018 ,318 000,51 198 000,17,"0,05 ",321,XTP,291.62,6.94,,
ZAMET ,PLZAMET00010 ,46 149 000,36 919 200,12,"0,00 ",452,ZMT,81.56,117.82,0.0046,
ZEPAK ,PLZEPAK00012 ,24 622 000,201 407 960,65,"0,01 ",121,ZEP,408.62,2100.07,,14.7
ZPUE ,PLZPUE000012 ,699 000,65 007 000,21,"0,01 ",113,PUE,135.8,273.56,,
ZUE ,PLZUE0000015 ,8 629 000,32 962 780,11,"0,00 ",187,ZUE,87.51,211.3,0.5969,
